Time,Sequence #,Data,Best Gateway,RSSI,SNR
2019-09-16 02:31:22,420,d77e070da201008a023c0d0001635a2b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-68,11.5
2019-09-16 01:31:23,419,d77e01008a023b0d000163572b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-65,12.8
2019-09-16 00:31:24,418,d77e070da001008b023b0d000163a02b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-68,11
2019-09-15 23:31:24,417,d77e010092023a0d000164882b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-68,12.8
2019-09-15 22:31:25,416,d77e070da201009c02390d000166012b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,12.5
2019-09-15 21:31:25,415,d77e0100a702390d0001677b2b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-67,12
2019-09-15 20:31:26,414,d77e070da70100aa02390d000167f72b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,13.8
2019-09-15 19:31:27,413,d77e0100ad02380d000168672b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-67,11.8
2019-09-15 18:31:27,412,d77e070da70100b202370d000169412b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-66,12.5
2019-09-15 17:31:28,411,d77e0100b902370d00016a332b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-68,13.5
2019-09-15 16:31:29,410,d77e070da90100bc02370d00016a982b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,13.2
2019-09-15 15:31:29,409,d77e0100c702360d00016c312b0002000000012f01,64-7F-DA-FF-FE-00-43-A5,-73,12.8
2019-09-15 14:31:30,408,d77e070da90100cc02360d00016ced2b0003000000022f01,64-7F-DA-FF-FE-00-43-A5,-69,12.5
2019-09-15 13:31:31,407,d77e0100d302350d00016e162b0002000000012f02,72-76-FF-00-2E-05-04-F8,-103,-12
2019-09-15 13:31:31,407,d77e0100d302350d00016e162b0002000000012f02,64-7F-DA-FF-FE-00-43-A5,-69,13.2
2019-09-15 12:31:31,406,d77e070dac0100db02350d00016f4c2b0003000000022f02,64-7F-DA-FF-FE-00-43-A5,-69,12.8
2019-09-15 11:31:32,405,d77e0100ed02350d000171f02b0002000000012f09,64-7F-DA-FF-FE-00-43-A5,-69,12
2019-09-15 10:31:33,404,d77e070d8a0100e002380d00016feb2b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-69,13.2
2019-09-15 09:31:33,403,d77e0100e802390d000170da2b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-71,13
2019-09-15 08:31:34,402,d77e070da90100d0023c0d00016d422b0002000000012f03,64-7F-DA-FF-FE-00-51-DB,-92,4.2
2019-09-15 08:31:34,402,d77e070da90100d0023c0d00016d422b0002000000012f03,64-7F-DA-FF-FE-00-43-A5,-71,13.2
2019-09-15 07:31:35,401,d77e0100ab023e0d000167fc2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-68,12.2
2019-09-15 06:31:35,400,d77e070da2010091023f0d000164922b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-68,12.8
2019-09-15 05:31:36,399,d77e010098023f0d000165912b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-70,13
